tweet_id,retweet_count,favorite_count
828376505180889089,1156,7835
828372645993398273,3198,13289
828361771580813312,184,2327
828046555563323392,3114,12482
828011680017821696,2338,11004
827933404142436356,5692,21381
827653905312006145,3275,16381
827600520311402496,1032,7862
827324948884643840,3338,16858
827199976799354881,2443,11240
826958653328592898,5451,22913
826848821049180160,11145,38750
826615380357632002,4305,0
826598799820865537,277,5430
826598365270007810,2558,10708
826476773533745153,4573,19578
826240494070030336,2817,14101
826204788643753985,1017,5185
826115272272650244,3417,16658
825876512159186944,2039,11125
825829644528148480,2714,13552
825535076884762624,18761,55364
825147591692263424,4993,19473
825120256414846976,1402,0
825026590719483904,1402,6752
824796380199809024,6000,0
824775126675836928,3847,15924
824663926340194305,1896,10714
824325613288833024,11334,12537
824297048279236611,4225,16030
824025158776213504,646,5082
823939628516474880,2960,11331
823719002937630720,12275,0
823699002998870016,2644,13392
823581115634085888,2889,13887
823333489516937216,29,742
823322678127919110,4390,16758
823269594223824897,10774,0
822975315408461824,3760,18417
822872901745569793,47973,141008
822859134160621569,2492,14084
822647212903690241,7027,0
822610361945911296,3240,15731
822489057087389700,7027,19346
822462944365645825,16051,30374
822244816520155136,10774,37343
822163064745328640,5262,0
821886076407029760,2561,12112
821813639212650496,3656,0
821765923262631936,1823,8988
821522889702862852,1936,8560
821421320206483457,6131,0
821407182352777218,4768,12565
821153421864615936,10,271
821149554670182400,2205,9314
821107785811234820,2331,10228
821044531881721856,2509,13518
820837357901512704,7334,0
820749716845686786,10867,33679
820690176645140481,3538,13030
820494788566847489,622,0
820446719150292993,2832,0
820314633777061888,622,3563
820078625395449857,6887,21169
820013781606658049,1301,0
819952236453363712,1301,5682
819924195358416896,5309,13743
819711362133872643,3440,14382
819588359383371776,2156,10217
819347104292290561,1324,7714
819238181065359361,443,2438
819227688460238848,7334,24667
819015337530290176,40232,0
819015331746349057,20735,0
819006400881917954,20735,48241
819004803107983360,40232,92308
818646164899774465,22883,0
818627210458333184,8165,23723
818614493328580609,2836,10544
818588835076603904,6739,0
818536468981415936,2721,11662
818307523543449600,8916,0
818259473185828864,2513,11788
818145370475810820,2851,13141
817908911860748288,866,5179
817827839487737858,29807,55458
817777686764523521,2935,11454
817536400337801217,3332,12626
817502432452313088,3717,0
